年份,区块,AUC,AUC_FILL,Vmax,Tpeak,UpSlope,DnSlope,FWHM,DL_vb,DL_va,DL_m1,DL_m2,DL_s1,DL_s2,SeasonLen,T,P,S,Y,AUC_T,AUC_P,Vmax_T,FWHM_P,T2,P2,HDD,CDD,B_A1,B_A10,B_A2,B_A3,B_A4,B_A5,B_A6,B_A7,B_A8,B_A9
2011,A1,152.16,87.595,2.001,110.0,0.034759999999999985,-0.008050000000000009,90.0,0.21618496323138964,1.9162626604165427,85.81847416008344,179.99999999999997,10.297782676955043,29.999999999999996,94.18152583991653,12.1,123,653,554,1841.136,18715.68,24.2121,11070.0,146.41,15129,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2011,A10,239.86999999999998,140.69,3.022,110.0,0.056545714285714276,-0.01533928571428571,90.0,0.22578427657196443,3.1737966203213186,85.67921233240598,179.97489264954717,9.360278753737944,29.999999999999996,94.29568031714119,14.9,172,764,728,3574.0629999999996,41257.64,45.0278,15480.0,222.01000000000002,29584,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2011,A2,171.68,99.89,2.312,120.0,0.034489285714285695,-0.01932000000000001,90.0,-0.2538088293217231,3.1119862488496155,82.39822609221537,169.80786385713333,15.139888554174489,29.999999999999996,87.40963776491796,12.3,122,717,580,2111.664,20944.96,28.4376,10980.0,151.29000000000002,14884,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2011,A3,205.38,121.14499999999998,2.826,110.0,0.04569428571428569,-0.014007142857142853,90.0,0.7013941013027344,2.208572502677816,92.47258597842124,171.31627712741454,5.52627966299668,29.999999999999996,78.8436911489933,13.2,126,706,665,2711.0159999999996,25877.88,37.3032,11340.0,174.23999999999998,15876,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2011,A4,211.91000000000003,123.715,2.873,120.0,0.043767857142857094,-0.02014285714285717,90.0,0.20154066980464502,2.7334850325374584,86.00485341628173,175.33709931539485,10.027650356939214,23.466024858616358,89.33224589911312,13.1,124,693,709,2776.021,26276.840000000004,37.6363,11160.0,171.60999999999999,15376,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2011,A5,210.525,127.0,2.837,120.0,0.04485714285714281,-0.023762857142857165,90.0,0.5979570156990387,3.2944433437660794,92.53353446972866,146.54717679265687,9.005577083824532,29.999999999999215,54.013642322928206,13.0,137,717,642,2736.8250000000003,28841.925,36.881,12330.0,169.0,18769,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2011,A6,215.285,125.725,2.642,110.0,0.04400571428571426,-0.016349999999999993,90.0,0.6570783033749686,1.929425182912711,88.90434353339971,167.79788021229407,5.834598532449892,7.951910181942656,78.89353667889436,13.1,151,726,655,2820.2335,32508.035,34.6102,13590.0,171.60999999999999,22801,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2011,A7,234.075,133.155,2.915,120.0,0.04235357142857139,-0.020197142857142886,90.0,0.26787403115110214,3.2519676664855877,86.76757379894251,168.2449380186462,12.979595644036092,26.811107455403942,81.47736421970369,13.9,145,759,596,3253.6425,33940.875,40.5185,13050.0,193.21,21025,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2011,A8,241.08,143.17000000000002,3.172,110.0,0.05599999999999998,-0.02297857142857142,90.0,-0.043191503657782966,4.591711659831871,87.72750268817128,157.2583692478677,14.559881661003132,29.99999999999925,69.53086655969642,14.2,151,756,664,3423.336,36403.08,45.0424,13590.0,201.64,22801,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2011,A9,237.225,141.625,3.07,120.0,0.04998214285714281,-0.025500000000000033,90.0,0.32085926868188724,3.7918021389991514,88.74880670536236,156.4552136163029,10.814464944361449,29.999999999999996,67.70640691094054,14.5,164,756,731,3439.7625,38904.9,44.515,14760.0,210.25,26896,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2012,A1,165.73999999999998,96.22,2.234,130.0,0.027791666666666655,-0.019110000000000012,90.0,0.4589790212647239,1.610577794499589,88.31030896170127,172.50091916984863,5.280290608509603,16.27567630555254,84.19061020814736,12.0,123,673,577,1988.8799999999997,20386.019999999997,26.808,11070.0,144.0,15129,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2012,A10,243.505,143.535,3.16,120.0,0.05067499999999997,-0.022288571428571456,90.0,-0.16018291817202196,3.565826507873278,85.51780833963606,177.58290688652613,12.92223706743569,18.731893601605954,92.06509854689007,14.9,181,745,698,3628.2245,44074.405,47.084,16290.0,222.01000000000002,32761,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2012,A2,192.06,113.05000000000001,2.455,110.0,0.039799999999999995,-0.014957142857142856,90.0,0.37216661838233817,2.9434806519373313,91.61882752076485,158.30636619104288,12.18024140417397,29.999999999999996,66.68753867027803,12.3,144,686,635,2362.338,27656.64,30.196500000000004,12960.0,151.29000000000002,20736,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2012,A3,211.615,126.23,2.789,120.0,0.04605714285714281,-0.0207114285714286,90.0,0.4532512667646046,3.131359243385161,89.93658143734672,155.3080456560908,9.116398000875517,29.999999999999996,65.37146421874408,12.8,138,691,701,2708.6720000000005,29202.870000000003,35.699200000000005,12420.0,163.84000000000003,19044,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2012,A4,221.83499999999998,131.6,2.883,130.0,0.038754761904761896,-0.02988000000000002,90.0,0.2769353204113822,2.8140128173070234,87.58275972520696,169.02011547631562,9.712140642793504,19.30308370721339,81.43735575110867,13.4,155,684,670,2972.589,34384.424999999996,38.632200000000005,13950.0,179.56,24025,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2012,A5,266.185,155.23499999999999,3.381,120.0,0.055042857142857095,-0.02670571428571433,90.0,0.1678385628242107,3.5474424975492567,84.80762742320778,172.3456927988213,9.583149371739609,22.968879158666624,87.53806537561351,14.1,148,694,742,3753.2084999999997,39395.38,47.67209999999999,13320.0,198.81,21904,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2012,A6,242.165,138.01,3.099,110.0,0.04952571428571427,-0.017614285714285704,90.0,0.6890711407565441,2.332630634340765,88.07800830907033,171.5587835858708,7.572566490509271,16.62313501438066,83.48077527680047,14.3,168,736,661,3462.9595,40683.72,44.31570000000001,15120.0,204.49,28224,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2012,A7,226.07500000000002,130.6,3.058,110.0,0.04771714285714284,-0.02053214285714285,90.0,0.6628228266244132,3.2162217472665184,89.99509653542066,148.72205696571558,10.747746248744422,29.999999999999247,58.72696043029492,13.9,172,730,718,3142.4425,38884.9,42.5062,15480.0,193.21,29584,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2012,A8,248.71499999999997,141.64499999999998,3.171,110.0,0.05155999999999997,-0.01840357142857142,90.0,0.7207003424940374,2.954486360301808,88.26202980610698,162.25927842312046,8.954545614334496,29.999999999999986,73.99724861701348,14.0,163,723,711,3482.0099999999998,40540.545,44.394,14670.0,196.0,26569,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2012,A9,244.79,144.735,3.178,120.0,0.049932142857142814,-0.01889428571428574,90.0,0.707735386119282,2.894702199410082,91.50461275466094,168.56139478041135,6.998340264388382,29.999999999999996,77.05678202575041,15.0,183,737,688,3671.85,44796.57,47.67,16470.0,225.0,33489,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2013,A1,178.925,106.065,2.342,120.0,0.03888214285714283,-0.020137142857142885,80.0,0.16695111537919832,2.2117991482750496,86.40535518451469,169.5793988439652,8.799432561467698,15.193622902168983,83.17404365945052,12.7,129,648,666,2272.3475,23081.325,29.743399999999998,10320.0,161.29,16641,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2013,A10,253.235,144.17000000000002,3.274,120.0,0.0468535714285714,-0.02382857142857144,90.0,0.20938042565249212,3.7887031983303854,85.50401634986434,166.24231134133316,13.301780340267763,29.999999999999464,80.73829499146882,15.1,189,746,699,3823.8485,47861.415,49.4374,17010.0,228.01,35721,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2013,A2,191.60000000000002,116.44,2.538,120.0,0.0384071428571428,-0.022394285714285724,90.0,1.2068061877248326,6.666994859579503,93.02444490469094,100.00000000005159,12.050231839787095,23.546471167913424,6.975555095360647,12.5,139,666,590,2395.0000000000005,26632.4,31.724999999999998,12510.0,156.25,19321,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2013,A3,216.76,126.47999999999999,2.659,130.0,0.035028571428571416,-0.020720000000000027,90.0,0.4849700222924829,2.2496997287025713,87.51410248918755,176.77952060200428,7.338906229434149,17.83964185376068,89.26541811281673,13.4,147,668,689,2904.584,31863.719999999998,35.6306,13230.0,179.56,21609,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2013,A4,233.83,135.925,2.931,130.0,0.039297619047619047,-0.024300000000000026,90.0,0.46378827458108096,2.607106174004898,86.15130572239833,174.20028935827523,6.794779923413674,22.44090413933831,88.0489836358769,13.4,141,722,717,3133.322,32970.03,39.275400000000005,12690.0,179.56,19881,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2013,A5,231.455,134.62,2.987,120.0,0.04509999999999996,-0.022660000000000024,90.0,0.3758895664128535,3.825649860585742,90.30874873556097,153.36161010779014,13.102526301104596,29.999999999999996,63.052861372229174,13.3,153,712,649,3078.3515,35412.615000000005,39.7271,13770.0,176.89000000000001,23409,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2013,A6,233.18,139.98,3.129,110.0,0.054688571428571406,-0.020699999999999993,90.0,0.2138463781000915,3.8868892640581962,90.29625627827025,160.7670391232351,12.076581548099497,29.99999999999994,70.47078284496484,13.7,154,723,765,3194.566,35909.72,42.8673,13860.0,187.68999999999997,23716,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2013,A7,234.14,135.20499999999998,3.034,120.0,0.04707142857142852,-0.019308571428571456,90.0,0.44851188478896425,2.973290373927193,87.44189322394726,170.27933103365896,9.110621574409498,29.999999999999037,82.8374378097117,13.8,175,710,751,3231.132,40974.5,41.8692,15750.0,190.44000000000003,30625,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2013,A8,265.155,153.73999999999998,3.324,110.0,0.05959714285714286,-0.021657142857142854,90.0,0.3529754780746994,3.6893466989468005,85.20622045402564,165.15208284795006,10.08164085158293,29.999999999982794,79.94586239392441,14.2,171,706,663,3765.2009999999996,45341.505,47.200799999999994,15390.0,201.64,29241,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2013,A9,259.08000000000004,151.235,3.484,120.0,0.05342499999999996,-0.026734285714285735,90.0,0.37337408800099564,3.855906581089025,87.36500518281994,159.98862775863125,10.901449696293483,29.999999999999996,72.62362257581131,14.8,171,754,677,3834.384000000001,44302.68000000001,51.5632,15390.0,219.04000000000002,29241,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2014,A1,198.87000000000003,115.68,2.464,110.0,0.04225999999999998,-0.01803214285714284,90.0,0.6719671873365745,2.0395999298877756,89.11226755869468,159.42468445119243,5.90691661928245,20.07758972043189,70.31241689249775,12.8,126,659,606,2545.5360000000005,25057.620000000003,31.5392,11340.0,163.84000000000003,15876,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2014,A10,315.60499999999996,182.68,4.077,110.0,0.06933428571428568,-0.02561785714285713,90.0,0.7555736274666549,3.7263630185447534,88.34958753900709,166.2245416932825,8.332018934586923,25.29910514840757,77.87495415427541,15.2,153,744,800,4797.195999999999,48287.564999999995,61.9704,13770.0,231.04,23409,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2014,A2,202.125,115.975,2.494,120.0,0.0353035714285714,-0.020142857142857164,100.0,0.5223787991825231,2.046370396682187,86.35576072386473,166.8651781009571,8.641658311782173,15.409720763797301,80.50941737709238,12.9,125,668,647,2607.4125,25265.625,32.1726,12500.0,166.41,15625,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2014,A3,225.03,130.71,3.058,120.0,0.04365357142857139,-0.02138285714285717,90.0,0.39358090636968723,3.593204212923735,91.221279663029,156.83309302354942,13.56212603079245,29.999999999999996,65.61181336052043,13.0,138,685,679,2925.39,31054.14,39.754,12420.0,169.0,19044,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2014,A4,204.86999999999998,120.065,2.723,110.0,0.04486857142857141,-0.013635714285714287,90.0,0.6791205029188014,2.3101016582524383,91.3631230484668,165.97833032175967,7.343532971513177,29.999999999999996,74.61520727329287,12.8,153,722,641,2622.336,31345.109999999997,34.8544,13770.0,163.84000000000003,23409,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2014,A5,240.345,143.33,3.24,110.0,0.05299999999999999,-0.020992857142857146,90.0,0.8586372419887482,3.2315431181828287,93.04052338432513,148.92925965147327,7.96561463171986,29.999999999997268,55.88873626714815,13.6,153,715,757,3268.692,36772.784999999996,44.064,13770.0,184.95999999999998,23409,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2014,A6,254.03,150.455,3.172,120.0,0.05314642857142853,-0.018865714285714326,90.0,0.23785167180507466,3.4369011369500955,87.16848869524297,179.58895888181542,9.45654808757663,29.99999999998568,92.42047018657244,14.0,150,732,711,3556.42,38104.5,44.408,13500.0,196.0,22500,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2014,A7,243.61,139.745,3.168,120.0,0.045174999999999965,-0.02334000000000003,90.0,0.245213598066847,4.126002354229962,89.06131163103997,157.4681629382143,15.151815082608431,29.999999999999996,68.40685130717434,13.9,163,745,774,3386.179,39708.43,44.0352,14670.0,193.21,26569,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2014,A8,251.175,146.275,3.263,110.0,0.059374285714285706,-0.022310714285714277,90.0,0.35954515680397325,3.5168867762012126,85.47854469909778,162.95025188641944,9.311988596245113,29.999999999999932,77.47170718732166,14.5,173,748,692,3642.0375000000004,43453.275,47.3135,15570.0,210.25,29929,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2014,A9,293.59499999999997,171.65,3.802,120.0,0.057560714285714236,-0.027497142857142883,90.0,0.9701752167254326,3.7792075291759537,91.3594933367695,152.93904033069703,8.069966003845545,29.999999999999808,61.57954699392752,15.3,165,731,800,4492.0035,48443.174999999996,58.1706,14850.0,234.09000000000003,27225,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2015,A1,181.075,105.99000000000001,2.439,110.0,0.044108571428571414,-0.01675357142857143,90.0,0.46982481618128574,2.033068915767164,87.52776843054289,163.30250249921713,6.045694580785254,22.49603949142508,75.77473406867423,12.9,102,669,573,2335.8675,18469.649999999998,31.4631,9180.0,166.41,10404,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2015,A10,324.04499999999996,187.10999999999999,4.021,120.0,0.061146428571428504,-0.030574285714285755,90.0,0.7536284686913797,3.4147043958085272,86.56069361256384,169.966507703001,7.315635600139208,18.091982693782192,83.40581409043718,15.2,152,726,764,4925.4839999999995,49254.84,61.11919999999999,13680.0,231.04,23104,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2015,A2,214.78500000000003,128.495,2.778,120.0,0.048660714285714245,-0.016988571428571454,90.0,0.14386969440265315,2.974700008621934,86.42201853985192,179.08699339092064,8.554855731701203,29.999999999999996,92.66497485106872,13.6,110,679,665,2921.0760000000005,23626.350000000002,37.7808,9900.0,184.95999999999998,12100,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2015,A3,227.235,129.655,2.679,120.0,0.042114285714285674,-0.016808571428571454,90.0,0.4685955983367516,2.2261496919595656,84.63874153441613,174.35955297465242,6.430688822720846,11.91510165867143,89.72081144023629,12.9,126,698,681,2931.3315000000002,28631.61,34.5591,11340.0,166.41,15876,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2015,A4,218.88,128.58,2.858,120.0,0.04298214285714282,-0.02089714285714288,90.0,0.3992376384904112,3.1569904526999313,89.0527338681171,161.41006516810793,11.04208045198421,29.999999999999996,72.35733129999083,13.4,116,687,595,2932.992,25390.079999999998,38.297200000000004,10440.0,179.56,13456,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2015,A5,247.07999999999998,146.925,3.459,110.0,0.05712,-0.023567857142857127,90.0,1.608912575619081,5.732688526687704,92.23699130852897,101.73075138562153,9.536415514335614,26.219260838013444,9.49376007709256,13.5,133,719,702,3335.58,32861.64,46.6965,11970.0,182.25,17689,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2015,A6,249.29499999999996,143.935,3.197,120.0,0.04889999999999995,-0.01810000000000002,90.0,0.4620159764054034,3.119089782286122,88.4966936965469,176.1286764832343,9.783489365511628,29.99999999999999,87.6319827866874,14.3,119,737,766,3564.9184999999998,29666.104999999996,45.7171,10710.0,204.49,14161,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2015,A7,321.77500000000003,189.055,4.399,110.0,0.07223142857142853,-0.026971428571428573,90.0,0.9470553145043809,4.140816180480771,91.39358991610628,158.434441027388,8.52916186408952,29.999999999999996,67.04085111128173,14.7,141,699,719,4730.092500000001,45370.275,64.6653,12690.0,216.08999999999997,19881,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2015,A8,300.92499999999995,177.305,3.786,120.0,0.05771785714285708,-0.02926000000000006,90.0,0.8121625220239147,3.1568612891913492,89.84556659041678,168.5893222317223,6.809585741576958,17.739148515410964,78.74375564130551,14.8,144,735,744,4453.69,43333.2,56.0328,12960.0,219.04000000000002,20736,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2015,A9,320.835,192.795,4.316,120.0,0.06758214285714277,-0.03433428571428576,90.0,1.0081072368902606,4.501998565135528,91.99826423691195,149.80885166044243,7.646367179021719,29.99999999999739,57.81058742353048,15.3,142,736,800,4908.7755,45558.57,66.0348,12780.0,234.09000000000003,20164,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2016,A1,196.90500000000003,112.905,2.421,120.0,0.03533928571428568,-0.016877142857142872,90.0,0.42092377625521704,2.6056601138169535,87.14974402014447,162.19574575168474,10.886428052780294,29.999999999997314,75.04600173154027,13.2,102,672,564,2599.146,20084.31,31.957199999999997,9180.0,174.23999999999998,10404,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2016,A10,372.795,218.515,4.721,110.0,0.0843342857142857,-0.028982142857142852,90.0,0.8651918681750954,4.854266709956307,88.49542158533087,162.35241871572276,8.659925775904556,29.999999999998867,73.85699713039189,15.9,149,726,800,5927.440500000001,55546.455,75.0639,13410.0,252.81,22201,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2016,A2,201.125,111.55,2.622,110.0,0.03596857142857142,-0.014782142857142855,100.0,0.5031381761677804,2.516519739966131,86.98012473792592,163.23258484122584,13.01351858225162,29.999999999999996,76.25246010329992,13.1,105,663,617,2634.7374999999997,21118.125,34.3482,10500.0,171.60999999999999,11025,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2016,A3,212.02499999999998,125.76000000000002,2.754,110.0,0.05171999999999998,-0.01829999999999999,90.0,0.3929408813543452,3.0669814437500014,87.8296098002297,157.462735247883,9.334710256821271,29.999999999999996,69.63312544765328,13.9,100,660,597,2947.1474999999996,21202.499999999996,38.2806,9000.0,193.21,10000,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2016,A4,237.60500000000002,136.04500000000002,2.971,110.0,0.051842857142857135,-0.017757142857142853,90.0,0.2234822651003329,3.3374088697138538,83.62998407527843,168.01659663467242,11.600374357051496,29.999999999999996,84.386612559394,13.7,114,726,560,3255.1885,27086.97,40.7027,10260.0,187.68999999999997,12996,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2016,A5,279.825,166.125,3.578,120.0,0.054624999999999944,-0.0317714285714286,90.0,0.6863668947909684,3.0254204026399343,88.81004274832739,164.9835213450511,7.564713058927007,15.196054590894267,76.1734785967237,14.4,122,687,690,4029.48,34138.65,51.523199999999996,10980.0,207.36,14884,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2016,A6,263.125,159.685,3.528,110.0,0.061222857142857114,-0.026935714285714257,90.0,1.5149766962335869,9.999999999285608,93.32620182185993,101.12584812209616,13.019698495624924,24.5548879863774,7.799646300236233,14.1,115,722,672,3710.0625,30259.375,49.7448,10350.0,198.81,13225,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2016,A7,325.955,191.26,4.212,120.0,0.06278928571428566,-0.02914857142857146,90.0,0.7472950691919603,4.269042649847046,89.38783569837385,164.75408447411613,9.702717587210568,29.999999999999996,75.36624877574228,14.9,135,706,684,4856.7294999999995,44003.924999999996,62.7588,12150.0,222.01000000000002,18225,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2016,A8,296.63,173.17000000000002,3.731,110.0,0.06847999999999999,-0.020503571428571423,90.0,0.4464037451446309,3.8099282352994037,86.55038851991502,174.69361786999826,8.808003219707688,29.999999999986358,88.14322935008325,14.5,134,738,796,4301.135,39748.42,54.0995,12060.0,210.25,17956,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2016,A9,325.735,190.155,4.226,120.0,0.06539999999999993,-0.02794571428571432,90.0,1.044381957422405,3.874718712811757,90.18459385356901,159.4434311284344,6.8975036820888675,29.999999999999996,69.2588372748654,15.3,144,753,788,4983.7455,46905.840000000004,64.65780000000001,12960.0,234.09000000000003,20736,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2017,A1,187.165,110.845,2.531,110.0,0.04644285714285711,-0.016221428571428567,90.0,0.48091596772934364,2.4256515069945332,89.13760967275539,159.76127510966353,7.0097341120439305,29.999999999999705,70.62366543690814,12.8,100,685,645,2395.712,18716.5,32.396800000000006,9000.0,163.84000000000003,10000,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2017,A10,338.235,196.29,4.22,120.0,0.06235357142857137,-0.03451142857142864,90.0,0.8293261044470022,4.029319883569902,89.37325413920229,163.32553061325433,9.249442187188835,22.406821721828404,73.95227647405204,15.6,128,746,800,5276.466,43294.08,65.832,11520.0,243.35999999999999,16384,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2017,A2,208.48000000000002,118.575,2.574,120.0,0.03904999999999998,-0.016534285714285744,90.0,-0.548142748847241,3.796953907145756,78.77287933965562,179.99999999999412,17.061658260600353,29.999999999999304,101.2271206603385,13.1,104,664,694,2731.088,21681.920000000002,33.7194,9360.0,171.60999999999999,10816,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2017,A3,229.98499999999999,137.19,3.165,110.0,0.057365714285714284,-0.02456428571428569,90.0,0.14389954350423703,4.1071728323231715,88.39957884660166,154.1252281648073,12.025097422904558,29.999999999999986,65.72564931820565,13.8,109,682,681,3173.793,25068.364999999998,43.677,9810.0,190.44000000000003,11881,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2017,A4,242.77999999999997,141.02499999999998,3.486,110.0,0.06180285714285713,-0.019803571428571438,90.0,0.4140093420156096,3.1778483656990013,87.31074842327406,169.17407055736834,8.905880287156142,29.999999999999996,81.86332213409428,13.5,118,705,670,3277.5299999999997,28648.039999999997,47.061,10620.0,182.25,13924,0.0,0.0,False,False,False,False,True,False,False,False,False,False
2017,A5,277.99,165.17000000000002,3.723,110.0,0.0672485714285714,-0.021014285714285718,90.0,0.8196911028009071,3.191837163613883,90.5128205706026,168.50358993174171,5.072998263167112,29.99999999994316,77.99076936113912,14.4,120,711,666,4003.056,33358.8,53.6112,10800.0,207.36,14400,0.0,0.0,False,False,False,False,False,True,False,False,False,False
2017,A6,304.17999999999995,179.545,4.084,110.0,0.06956571428571426,-0.029307142857142837,90.0,0.4766156489816522,5.091963505317727,89.78397931640795,151.9533424362088,12.018973948190785,29.999999999999996,62.16936311980085,14.8,130,718,740,4501.864,39543.399999999994,60.4432,11700.0,219.04000000000002,16900,0.0,0.0,False,False,False,False,False,False,True,False,False,False
2017,A7,328.85,190.575,4.229,120.0,0.060239285714285655,-0.03134571428571433,90.0,0.9477782627802674,4.553373776247073,91.12025478808799,153.33841681336887,10.63891565822556,29.99999999999953,62.218162025280876,15.1,126,709,769,4965.635,41435.100000000006,63.8579,11340.0,228.01,15876,0.0,0.0,False,False,False,False,False,False,False,True,False,False
2017,A8,331.3399999999999,191.945,4.163,120.0,0.05874285714285709,-0.02929142857142861,90.0,1.194635306299146,3.902640633170189,91.62506136235218,155.51395626767163,8.4482712932214,28.436440764920235,63.88889490531945,15.3,151,726,800,5069.501999999999,50032.33999999999,63.693900000000006,13590.0,234.09000000000003,22801,0.0,0.0,False,False,False,False,False,False,False,False,True,False
2017,A9,331.88,194.24,4.329,110.0,0.07578571428571426,-0.02879642857142856,90.0,0.8139911302971531,4.489449212242592,89.08986447243706,157.36625993395936,8.79645592812528,29.999999999999993,68.2763954615223,15.1,152,733,800,5011.388,50445.76,65.36789999999999,13680.0,228.01,23104,0.0,0.0,False,False,False,False,False,False,False,False,False,True
2018,A1,203.91500000000005,118.11500000000001,2.712,110.0,0.04751999999999999,-0.01877499999999999,90.0,0.25620412391346553,2.990612256398416,85.81407054125293,161.19920261774539,10.647334400770674,29.999999999999744,75.38513207649245,13.3,109,668,646,2712.069500000001,22226.735000000004,36.0696,9810.0,176.89000000000001,11881,0.0,0.0,True,False,False,False,False,False,False,False,False,False
2018,A10,358.34000000000003,211.66,4.805,110.0,0.0859085714285714,-0.02881428571428571,90.0,1.114093719848698,4.266939810865127,89.93610360835166,160.83767509032594,5.981063459459063,29.999999999999392,70.90157148197429,16.0,157,735,793,5733.4400000000005,56259.380000000005,76.88,14130.0,256.0,24649,0.0,0.0,False,True,False,False,False,False,False,False,False,False
2018,A2,204.335,126.13,2.817,110.0,0.050651428571428556,-0.018407142857142855,90.0,0.4755849215686603,2.9045069259314555,92.16269549239198,160.10367974507017,7.565420661054281,29.99999999999988,67.94098425267819,13.1,117,650,671,2676.7885,23907.195,36.9027,10530.0,171.60999999999999,13689,0.0,0.0,False,False,True,False,False,False,False,False,False,False
2018,A3,234.42999999999998,135.13,2.907,110.0,0.049419999999999985,-0.019010714285714273,90.0,0.4185686381855629,3.3469365544512306,87.33249550091038,159.63138738427494,11.173304129279565,29.999999999998117,72.29889188336456,13.5,115,669,663,3164.805,26959.449999999997,39.2445,10350.0,182.25,13225,0.0,0.0,False,False,False,True,False,False,False,False,False,False
2018,A4,275.96000000000004,161.945,3.537,120.0,0.0534178571428571,-0.02376285714285717,90.0,0.6210488821442768,3.574361805954474,89.51903802299186,166.5312769101258,9.547679769316376,29.999999999940712,77.01223888713393,13.9,130,687,708,3835.8440000000005,35874.8,49.1643,11700.0,193.21,16900,0.0,0.0,False,False,False,False,True,False,False,False,False,False
